[2025-12-01 22:29:32,281: ERROR: common: Error reading the yaml file: [Errno 2] No such file or directory: 'configs\\config.yaml']
[2025-12-01 22:32:46,578: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-12-01 22:32:46,580: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-01 22:34:14,283: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-12-01 22:34:14,283: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-01 22:34:14,285: INFO: common: Directory created at: artifacts]
[2025-12-01 22:35:53,541: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-12-01 22:35:53,541: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-01 22:35:53,574: INFO: common: Directory created at: artifacts]
[2025-12-02 11:42:42,258: ERROR: common: Error reading the yaml file: [Errno 2] No such file or directory: 'configs\\config.yaml']
[2025-12-02 11:44:39,169: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-12-02 11:44:39,172: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-02 11:44:39,172: INFO: common: Directory created at: artifacts]
[2025-12-02 11:44:39,172: INFO: common: Directory created at: artifacts/data_ingestion]
[2025-12-02 11:44:39,172: INFO: 954091442: Downloading file from :[https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing] into :[artifacts/data_ingestion/data.zip]]
[2025-12-02 11:45:02,847: INFO: 954091442: File :[artifacts/data_ingestion/data.zip] has been downloaded successfully.]
[2025-12-02 11:47:44,484: ERROR: common: Error reading the yaml file: [Errno 2] No such file or directory: 'configs\\config.yaml']
[2025-12-02 11:47:58,764: ERROR: common: Error reading the yaml file: [Errno 2] No such file or directory: 'configs\\config.yaml']
[2025-12-02 11:48:30,257: ERROR: common: Error reading the yaml file: [Errno 2] No such file or directory: 'configs\\config.yaml']
[2025-12-02 11:48:58,252: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-12-02 11:48:58,253: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-02 11:48:58,255: INFO: common: Directory created at: artifacts]
[2025-12-02 11:48:58,257: INFO: common: Directory created at: artifacts/data_ingestion]
[2025-12-02 11:48:58,258: INFO: 1955957686: Downloading file from :[https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing] into :[artifacts/data_ingestion/data.zip]]
[2025-12-02 11:49:17,521: INFO: 1955957686: File :[artifacts/data_ingestion/data.zip] has been downloaded successfully.]
[2025-12-02 11:49:17,525: INFO: 1955957686: File size :[56361.28 KB]]
[2025-12-02 11:49:18,953: INFO: 1955957686: Extraction completed successfully.]
